.Device.DeviceId,Start_time_time,Start_time_decimal,Duration,Decimal_Duration,Terminal,
b82,14:38,0.61,1:02,0.04,B,
b82,9:08,0.38,1:16,0.05,B,
b82,8:14,0.34,1:33,0.06,C,
b86,11:08,0.46,1:14,0.05,C,
b86,5:48,0.24,1:02,0.04,B,
b86,10:39,0.44,1:34,0.07,C,
b81,22:59,0.96,1:19,0.06,G,
b81,17:12,0.72,1:09,0.05,E,
b81,22:47,0.95,1:50,0.08,G,
b81,16:13,0.68,1:14,0.05,G,
b81,3:19,0.14,1:03,0.04,E,
b81,17:56,0.75,1:04,0.04,E,
b81,9:12,0.38,1:02,0.04,F,
b81,16:49,0.70,1:10,0.05,E,
b81,23:52,0.99,1:14,0.05,G,
b81,23:21,0.97,1:15,0.05,G,
b81,22:14,0.93,1:23,0.06,G,
b81,22:50,0.95,1:19,0.06,G,
b81,23:27,0.98,1:36,0.07,G,
b81,17:48,0.74,1:01,0.04,G,
b81,22:48,0.95,1:12,0.05,G,
b81,23:02,0.96,1:01,0.04,E,
b81,11:27,0.48,1:08,0.05,F,
b81,0:09,0.01,1:04,0.05,G,
bD,18:20,0.76,1:10,0.05,D,
bD,6:58,0.29,1:08,0.05,F,
bD,7:39,0.32,1:05,0.05,D,
bD3,17:08,0.71,1:23,0.06,D,
bD3,8:44,0.36,1:09,0.05,D,
bD3,8:27,0.35,1:17,0.05,D,
bD3,13:24,0.56,1:15,0.05,D,
bD3,16:13,0.68,1:01,0.04,D,
bD3,10:31,0.44,1:37,0.07,D,
b11,8:15,0.34,1:15,0.05,D,
b11,8:27,0.35,1:21,0.06,D,
b11,14:42,0.61,1:37,0.07,D,
b11,12:15,0.51,1:11,0.05,D,
b11,20:21,0.85,1:23,0.06,D,
b11,9:59,0.42,1:18,0.05,D,
b11,14:39,0.61,1:09,0.05,D,
b11,0:29,0.02,1:15,0.05,D,
b11,19:26,0.81,1:42,0.07,D,
b11,1:49,0.08,1:09,0.05,D,
b11,5:32,0.23,1:23,0.06,D,
b11,8:09,0.34,1:07,0.05,D,
b11,8:30,0.35,1:47,0.07,J,
b11,15:53,0.66,1:32,0.06,J,
b11,9:10,0.38,1:19,0.06,D,
b11,13:11,0.55,1:08,0.05,D,
b11,17:51,0.74,2:12,0.09,D,
b11,9:33,0.40,1:06,0.05,D,
b11,17:57,0.75,1:09,0.05,D,
b11,8:49,0.37,1:02,0.04,D,
b11,12:24,0.52,1:04,0.04,D,
b11,16:15,0.68,1:16,0.05,D,
b11,15:52,0.66,1:01,0.04,D,
b11,8:52,0.37,1:28,0.06,D,
b11,13:21,0.56,1:32,0.06,J,
b11,8:45,0.36,1:22,0.06,J,
b11,15:16,0.64,1:08,0.05,D,
